maxmin,default
39.63268,45.828
39.78448,45.504
37.74944,44.64
38.73614,44.748
39.94686,43.524
40.32222,41.58
40.7859,41.076
41.53432,41.508
40.74956,41.112
39.87878,41.04
41.00486,40.968
42.84578,41.112
44.48476,40.932
45.9517,41.544
46.8717,41.976
45.56254,41.04
43.54774,41.832
42.38762,42.156
41.86046,42.984
41.63828,44.604
42.15302,45.216
43.05462,45.288
45.18074,45.828
46.73692,45.468
48.22686,44.064
49.07464,43.632
50.7357,40.86
52.69116,38.52
54.17144,37.98
52.88114,38.268
53.40922,37.764
53.78642,39.564
54.90836,41.76
56.1269,43.92
57.5782,44.82
59.25168,45.18
59.89338,45.216
59.21856,46.368
59.07228,47.34
58.9398,49.068
58.5879,50.832
57.9577,51.912
57.42778,51.66
56.99032,50.184
55.47876,50.148
53.95018,50.292
52.63872,51.516
52.41332,49.428
51.59912,50.148
50.5126,49.932
49.32258,50.076
47.26914,50.832
47.21762,51.696
47.63162,52.452
48.25814,53.532
49.4477,54.252
50.17634,54
51.03424,53.604
51.03056,54
50.50708,53.748
51.681,53.352
49.69748,53.892
46.98256,53.604
46.05612,52.956
45.88638,51.876
45.37302,50.904
42.81772,47.196
43.2814,47.448
44.12872,48.06
45.05608,46.944
46.47748,47.412
48.86212,48.132
51.30058,45.972
52.38112,46.296
53.13506,46.404
53.13506,46.872
53.90556,46.944
54.9654,47.268
54.33934,46.188
53.9557,44.64
54.48884,44.64
56.31182,45.54
57.89836,44.244
58.52488,45.468
59.09068,47.34
61.0259,49.752
62.37094,52.524
63.35304,54.936
65.14152,54.396
67.01142,56.988
67.15172,57.78
66.953,58.068
67.6154,58.968
68.172,60.588
69.15824,62.172
70.74938,64.26
72.33914,65.844
69.80868,66.528
70.21302,67.032
69.82018,67.248
68.94664,66.924
67.8868,63.18
66.2377,62.928
61.86954,62.568
60.79452,60.696
59.96652,58.644
60.10544,56.952
58.76822,56.736
57.04598,57.456
55.97096,59.328
55.17516,60.912
55.63884,62.244
57.33946,63.288
58.99684,64.044
60.21078,64.188
59.2066,62.28
58.29718,60.372
57.33164,59.436
56.66418,59.112
54.10658,59.004
53.43084,59.616
53.89452,59.148
55.27452,59.688
56.4006,59.004
57.68124,58.356
59.86716,53.784
57.09382,54.612
57.34084,56.124
52.54212,57.24
52.05268,54.144
52.05222,54.108
52.16768,54.144
53.45062,53.532
54.878,53.424
56.60024,52.812
58.12836,51.876
58.79076,51.336
56.19728,52.488
57.29852,54.072
58.7949,56.448
59.87728,57.888
60.95138,59.508
62.37646,60.696
62.56506,61.776
61.6308,61.38
60.93942,60.3
62.13036,60.552
62.83232,60.408
63.06232,61.128
63.75738,59.544
63.91654,60.732
63.54302,60.84
61.0167,60.516
60.16018,60.012
59.77792,60.408
59.56126,61.128
59.23972,62.424
58.19736,58.356
57.71804,58.968
57.29162,60.804
55.75292,62.748
54.69032,64.476
52.59088,62.64
51.61936,63.936
50.34654,65.268
49.89206,65.376
49.53004,65.844
51.2969,66.924
52.30936,68.58
51.84246,70.236
49.24162,72.288
48.28896,72.972
48.346,73.62
48.47664,72.612
47.7963,70.128
49.58478,67.572
51.38798,66.24
52.78546,64.404
51.90502,64.008
51.90502,64.692
51.44686,64.692
51.60832,63.684
52.20816,62.82
52.53246,61.416
51.93308,58.752
51.08162,57.276
50.17956,57.132
48.67904,56.52
49.22506,56.772
50.06686,57.024
48.55162,57.132
47.62104,56.232
49.20758,56.052
49.58892,56.196
49.3902,57.312
50.97536,58.356
52.48186,57.564
52.762,58.356
54.0868,60.444
55.40194,58.68
56.1407,60.156
56.60438,60.912
58.33858,61.272
58.21438,57.492
58.05522,55.944
55.64298,56.304
56.76906,55.62
57.9002,54.36
58.85378,54.144
59.2227,53.784
59.5723,53.316
59.8023,53.424
60.62708,55.332
61.66484,57.024
61.76788,58.068
60.66434,57.78
58.78846,56.304
61.19426,55.98
60.31244,55.584
61.21128,55.548
61.76098,55.476
62.68834,55.188
62.28262,54.54
57.99312,54.54
56.26076,53.136
55.46588,51.372
55.53212,49.788
55.43414,49.068
55.96406,46.296
57.09014,45.432
58.54696,45.36
59.47432,44.316
60.54428,44.136
62.32402,45.036
63.35718,46.332
63.10418,48.24
62.13496,50.004
60.37316,51.012
58.604,51.948
58.22588,53.748
57.67296,55.044
57.24194,56.88
56.57954,57.168
57.6679,55.872
59.2066,54.9
59.3768,54.396
59.09114,54.792
59.50468,54.936
58.88138,55.62
55.89506,56.952
55.79662,57.996
56.17566,58.968
58.73786,59.796
61.02176,59.976
62.32264,58.392
61.80192,56.736
61.34008,56.088
61.6584,56.088
62.07838,56.268
62.14278,54.936
59.2089,59.076
57.35142,59.76
57.02022,61.236
56.6076,60.084
55.81272,61.74
56.04962,61.596
56.08182,61.956
56.10206,61.704
56.36518,60.876
57.22952,59.796
56.13196,57.996
56.19774,56.7
56.83346,55.152
57.16466,53.388
56.49812,54.432
55.89046,58.176
54.19444,59.292
51.8696,60.192
48.60958,58.32
45.5929,59.184
42.71146,60.084
41.84436,60.012
41.92532,61.56
42.90098,63.252
45.43834,64.656
47.20704,65.592
46.40296,65.268
48.21168,64.728
50.53974,65.484
52.15618,66.204
53.0173,66.528
53.87842,65.592
54.73954,64.656
54.62638,63.828
53.36736,63.756
53.16864,64.8
54.20226,65.412
55.68622,65.124
56.33114,63.9
56.6421,64.332
56.42728,64.692
54.05276,64.44
55.64252,65.196
56.38542,64.98
54.82372,64.08
54.57394,63.648
55.94888,58.536
54.6595,57.888
54.94746,57.42
54.70872,56.736
53.93224,58.5
53.61714,59.4
53.4359,59.292
54.53392,60.444
55.70646,61.524
55.73866,61.452
57.56164,61.056
59.00604,60.336
59.29446,58.788
59.98722,57.564
61.6055,55.44
61.71912,55.692
62.29918,55.296
62.97676,57.024
59.89338,57.6
58.4453,58.176
57.18674,57.96
55.69588,56.916
54.20318,55.332
53.6912,54.612
53.96214,55.26
52.32086,56.016
48.24572,55.836
47.72178,56.268
46.1679,55.62
43.70506,53.064
42.71652,52.632
42.16866,50.256
41.29834,50.364
40.3535,50.688
40.81718,52.488
42.01778,53.172
40.67688,54.468
42.07942,54.828
44.80952,55.26
46.13432,56.232
47.65784,56.592
48.99736,56.772
50.15794,56.52
51.44226,54.9
52.36962,53.892
54.1581,52.704
54.9562,50.364
55.41988,51.876
57.31324,53.604
58.55064,54.864
60.3589,53.028
61.54616,52.524
62.46938,52.56
62.69432,51.192
62.4818,49.716
61.6768,44.964
61.14688,46.836
61.07466,47.952
61.8217,49.428
61.10732,51.696
61.49188,52.236
59.11782,53.388
59.65878,54.36
56.30952,53.676
57.96414,53.064
59.38324,53.136
60.85846,50.832
60.67262,51.876
59.14128,52.128
57.22032,52.632
56.35,52.524
55.82376,52.74
53.12172,54.18
54.05276,54.936
54.2317,55.548
55.09282,57.096
55.91714,58.644
57.24102,59.868
59.36162,60.876
60.8097,60.948
56.3477,60.624
54.77266,60.012
50.15426,59.472
48.09668,58.896
47.73052,57.276
48.88098,55.62
49.77706,55.224
50.01488,53.856
49.41412,53.136
48.45134,52.956
49.77338,52.524
49.5719,52.92
50.5379,53.676
48.22916,52.668
47.50788,54.18
48.79772,50.4
49.46058,52.38
51.0117,54.504
52.52648,55.872
54.51368,57.564
51.48872,59.112
51.85948,61.488
50.60092,63.072
51.30518,63.972
52.04394,64.224
52.50762,64.008
54.72804,63.072
56.8767,61.38
58.55478,60.516
59.28342,60.012
60.87318,60.66
61.95832,61.452
61.88518,62.352
61.01624,63.648
61.46612,59.184
60.24482,58.176
58.87862,58.428
56.97284,57.852
54.2984,58.068
50.02178,57.708
48.22824,57.78
45.28792,58.392
45.7723,60.3
46.6003,61.92
46.79902,62.964
47.9136,61.02
49.2384,60.624
51.84982,59.94
52.67506,58.716
51.6281,57.78
50.95144,58.104
50.99606,55.692
50.55216,56.016
51.12992,56.808
51.65984,57.348
52.83514,57.24
53.69948,53.784
54.4525,53.316
54.99392,51.984
55.33524,50.616
54.91204,49.716
54.95666,47.952
54.87156,49.248
52.80478,50.148
50.761,47.664
46.20746,46.368
41.55272,46.764
39.0954,48.456
40.02276,50.292
42.20868,50.832
43.1986,51.408
43.861,51.012
44.79664,49.86
45.70744,49.968
46.49036,50.832
47.39012,51.264
49.36398,51.804
51.26654,51.768
53.05502,54.036
54.24642,56.268
55.47784,58.248
56.18946,58.5
57.77922,57.312
59.27606,57.6
60.0783,57.996
59.08976,58.104
55.8509,54.612
54.41754,52.704
52.69162,51.984
51.49654,51.588
51.69756,51.012
52.09132,51.804
52.35628,53.28
51.1957,54.216
52.06372,55.224
52.97774,56.664
53.18106,57.78
52.31902,58.86
51.76012,57.888
50.62806,54.576
49.38008,50.472
43.42538,47.916
42.1981,47.304
43.33292,48.816
44.7787,50.04
45.61084,50.4
46.65596,51.228
48.6427,50.544
50.61932,51.66
48.40442,53.1
49.92794,53.748
51.451,55.008
52.7758,55.908
53.65716,57.456
54.85132,58.572
55.13284,58.356
54.7722,57.816
54.83844,58.14
54.48838,58.14
54.07852,55.764
54.49344,55.692
54.16316,48.42
53.60932,49.608
54.33796,43.668
55.47554,44.28
54.51782,44.928
55.31132,46.584
55.51464,47.412
55.45944,46.584
52.78178,46.836
51.05218,47.124
51.37418,48.816
52.16216,50.112
52.48002,49.608
52.58674,52.2
54.25424,54.504
56.13656,56.196
55.4369,56.088
56.25202,56.484
56.48478,56.592
56.3523,56.736
56.12552,57.672
55.3978,58.32
54.8366,59.256
55.55144,60.048
56.40566,59.22
56.64348,58.824
56.24604,57.564
55.8072,56.412
54.76806,55.296
53.17508,54.72
52.11524,55.008
52.06924,55.296
52.84756,53.712
53.84714,54.936
54.51414,55.08
53.41566,54.828
52.05544,55.44
51.704,55.44
50.9542,56.448
51.50022,57.528
50.29916,59.04
52.10052,55.332
53.889,55.764
55.43874,55.584
56.82058,51.372
58.08972,51.048
59.22592,50.328
59.82944,50.4
59.49732,51.84
58.5695,53.82
55.06752,55.512
53.92488,55.836
53.86968,55.512
53.74272,55.512
53.7142,56.052
54.17788,57.672
54.50954,58.824
54.51,60.012
54.12682,60.804
51.74402,60.156
52.36318,60.264
53.60058,60.3
54.4617,60.228
55.32282,58.896
56.82886,59.292
56.80126,59.148
56.28468,60.804
56.08918,62.928
55.20368,61.092
54.53208,60.624
54.9447,61.884
54.67284,62.136
54.2639,61.164
50.52502,59.688
51.45192,58.788
52.10604,57.384
52.60882,56.34
52.77718,55.044
54.34486,53.424
51.3245,53.244
50.52318,54
49.46794,54.252
50.09216,55.332
50.47626,55.908
50.36586,54.936
49.0084,55.188
47.57228,54.468
47.30732,53.928
47.7963,54.144
48.71262,53.244
50.47258,53.532
49.565,53.316
50.36632,53.28
51.02872,50.472
53.00534,50.616
55.19126,50.472
56.68534,50.76
57.8565,51.516
57.55198,53.028
58.4154,55.116
59.00006,57.096
59.14266,59.076
58.7052,60.84
58.0267,62.172
57.62926,61.38
58.1233,62.1
59.51434,62.532
61.09306,62.424
62.4841,62.352
63.62168,62.712
63.91562,62.748
64.28454,61.524
61.9459,59.904
53.76848,58.284
52.8931,56.412
54.32094,52.992
55.15032,51.336
55.49026,48.528
54.61166,45.324
53.0219,43.056
52.0053,39.024
51.60786,36.288
50.508,36.108
52.5941,34.812
54.44882,34.164
56.83346,35.676
59.0318,35.928
60.68826,37.548
61.13538,39.348
61.32214,40.5
62.2495,41.976
63.37558,42.3
63.60052,42.912
63.20308,44.208
64.34388,44.676
65.53252,44.424
67.51972,44.46
68.43558,46.296
66.20504,48.636
64.75144,48.564
62.00018,50.976
56.04364,53.208
53.94696,55.26
51.5522,57.168
48.84556,54.288
48.71308,55.908
49.52958,56.556
50.91464,53.028
53.69672,52.452
56.3546,52.56
58.77236,52.704
61.3364,52.524
62.99286,51.66
63.19112,51.516
63.45286,52.308
63.43446,52.74
61.82446,52.272
59.64222,52.488
57.92734,53.712
56.23178,54.684
54.59694,56.196
54.85224,57.24
54.98288,58.608
55.19264,55.692
55.32742,56.88
54.56704,57.78
54.69538,58.356
47.98904,55.836
47.80734,56.7
47.34596,58.5
47.13804,60.624
47.33814,61.92
45.98988,63.18
44.988,64.476
44.19496,65.628
43.95668,66.672
45.01652,66.996
46.17112,66.78
47.63576,66.528
48.49688,66.636
49.8985,65.88
51.0255,67.14
51.727,67.176
52.78086,68.076
52.8471,69.228
53.54814,69.696
53.41566,64.224
53.45246,65.376
53.47362,65.124
51.79784,63.468
50.80424,62.82
50.3194,62.928
48.71952,60.732
47.10768,61.596
46.12236,63.324
45.63568,65.232
46.86388,66.708
48.85108,67.896
50.81804,68.256
52.60652,67.284
51.96344,65.916
53.51502,63.792
54.67192,61.596
54.53944,59.22
54.27908,59.4
53.94788,58.788
53.61024,57.924
51.99794,58.032
50.44268,59.22
48.46284,55.476
48.29816,56.232
48.16568,56.16
46.90712,56.304
47.59804,55.62
46.53176,56.268
46.73048,57.888
46.52808,57.708
47.73098,57.852
48.38602,55.548
48.58474,55.692
49.59214,55.944
50.84932,57.312
52.99016,58.644
54.51368,59.364
55.6048,61.02
56.1913,62.208
57.67158,58.284
57.44802,58.824
58.16056,58.932
59.06354,59.436
60.52588,59.544
58.4361,60.336
60.21446,58.068
58.0658,56.304
57.96598,55.116
56.29802,54.396
56.19406,53.676
55.52936,54.432
56.1154,54.936
56.9043,54.432
51.8328,53.172
50.6299,53.064
49.4776,52.596
47.06628,53.064
46.60168,53.748
46.07176,54.036
45.01192,53.82
45.78472,54.108
44.38816,52.56
46.02852,52.344
48.18592,51.444
50.37184,51.336
51.35716,50.616
52.74406,50.904
53.3002,51.336
50.80286,52.056
50.00798,51.3
48.99506,49.788
48.1413,49.608
45.8482,50.148
44.18162,51.156
44.80722,52.56
41.75926,54.324
42.24778,55.62
43.36006,55.548
44.40702,56.124
45.63292,57.42
